,,
Plan School/College,Academic Plan,Link
Letters & Science,Journalism BS,https://guide.wisc.edu/undergraduate/letters-science/journalism-mass-communication/journalism-mass-communication-jbs/index.html
Letters & Science,Landscape & Urban Studies BA,https://guide.wisc.edu/undergraduate/letters-science/planning-landscape-architecture/landscape-urban-studies-ba/index.html
Letters & Science,Landscape & Urban Studies BS,https://guide.wisc.edu/undergraduate/letters-science/planning-landscape-architecture/landscape-urban-studies-bs/index.html
Letters & Science,Landscape Architecture BLA,https://guide.wisc.edu/undergraduate/letters-science/planning-landscape-architecture/landscape-architecture-bla/index.html
Letters & Science,Latin American,https://guide.wisc.edu/undergraduate/letters-science/institute-regional-international-studies/latin-american-caribbean-iberian-studies-ba/index.html
Letters & Science,Latin American,https://guide.wisc.edu/undergraduate/letters-science/institute-regional-international-studies/latin-american-caribbean-iberian-studies-bs/index.html
Letters & Science,Latin BA,https://guide.wisc.edu/undergraduate/letters-science/classics-ancient-near-eastern-studies/latin-ba/index.html
Letters & Science,Latin BS,https://guide.wisc.edu/undergraduate/letters-science/classics-ancient-near-eastern-studies/latin-bs/index.html
Letters & Science,Legal Studies BA,https://guide.wisc.edu/undergraduate/letters-science/center-law-society-justice/legal-studies-ba/index.html
Letters & Science,Legal Studies BS,https://guide.wisc.edu/undergraduate/letters-science/center-law-society-justice/legal-studies-bs/index.html
Letters & Science,Linguistics BA,https://guide.wisc.edu/undergraduate/letters-science/language-sciences/linguistics-ba/index.html
Letters & Science,Linguistics BS,https://guide.wisc.edu/undergraduate/letters-science/language-sciences/linguistics-bs/index.html
Letters & Science,Mathematics BA,https://guide.wisc.edu/undergraduate/letters-science/mathematics/mathematics-ba/index.html
Letters & Science,Mathematics BS,https://guide.wisc.edu/undergraduate/letters-science/mathematics/mathematics-bs/index.html
Letters & Science,Microbiology BA,https://guide.wisc.edu/undergraduate/letters-science/college-wide/microbiology-ba/index.html
Letters & Science,Microbiology BS,https://guide.wisc.edu/undergraduate/letters-science/college-wide/microbiology-bs/index.html
Letters & Science,Molecular & Cell Biology BA,https://guide.wisc.edu/undergraduate/letters-science/integrative-biology/molecular-cell-biology-ba/index.html
Letters & Science,Molecular & Cell Biology BS,https://guide.wisc.edu/undergraduate/letters-science/integrative-biology/molecular-cell-biology-bs/index.html
Letters & Science,Music BA,https://guide.wisc.edu/undergraduate/letters-science/music/music-ba/index.html
Letters & Science,Music BS,https://guide.wisc.edu/undergraduate/letters-science/music/music-bs/index.html
Letters & Science,Music: Education BM,https://guide.wisc.edu/undergraduate/letters-science/music/music-education-bm/index.html
Letters & Science,Music: Performance BM,https://guide.wisc.edu/undergraduate/letters-science/music/music-performance-bm/index.html
Letters & Science,Neurobiology BA,https://guide.wisc.edu/undergraduate/letters-science/integrative-biology/neurobiology-ba/index.html
Letters & Science,Neurobiology BS,https://guide.wisc.edu/undergraduate/letters-science/integrative-biology/neurobiology-bs/index.html
Letters & Science,No Major Code BA,
Letters & Science,No Major Code BS,
Letters & Science,Philosophy BA,https://guide.wisc.edu/undergraduate/letters-science/philosophy/philosophy-ba/index.html
Letters & Science,Philosophy BS,https://guide.wisc.edu/undergraduate/letters-science/philosophy/philosophy-bs/index.html
Letters & Science,Physics BA,https://guide.wisc.edu/undergraduate/letters-science/physics/physics-ba/index.html
Letters & Science,Physics BS,https://guide.wisc.edu/undergraduate/letters-science/physics/physics-bs/index.html
Letters & Science,Polish BA,https://guide.wisc.edu/undergraduate/letters-science/german-nordic-slavic/polish-ba/index.html
Letters & Science,Polish BS,https://guide.wisc.edu/undergraduate/letters-science/german-nordic-slavic/polish-bs/index.html
Letters & Science,Political Science BA,https://guide.wisc.edu/undergraduate/letters-science/political-science/political-science-ba/index.html
Letters & Science,Political Science BS,https://guide.wisc.edu/undergraduate/letters-science/political-science/political-science-bs/index.html
Letters & Science,Portuguese BA,https://guide.wisc.edu/undergraduate/letters-science/spanish-portuguese/portuguese-ba/index.html
Letters & Science,Portuguese BS,https://guide.wisc.edu/undergraduate/letters-science/spanish-portuguese/portuguese-bs/index.html
Letters & Science,Psychology BA,https://guide.wisc.edu/undergraduate/letters-science/psychology/psychology-ba/index.html
Letters & Science,Psychology BS,https://guide.wisc.edu/undergraduate/letters-science/psychology/psychology-bs/index.html
Letters & Science,Religious Studies BA,https://guide.wisc.edu/undergraduate/letters-science/religious-studies/religious-studies-ba/index.html
Letters & Science,Religious Studies BS,https://guide.wisc.edu/undergraduate/letters-science/religious-studies/religious-studies-bs/index.html
Letters & Science,Russian BA,https://guide.wisc.edu/undergraduate/letters-science/german-nordic-slavic/russian-ba/index.html
Letters & Science,Russian BS,https://guide.wisc.edu/undergraduate/letters-science/german-nordic-slavic/russian-bs/index.html
Letters & Science,Scandinavian Studies BA,https://guide.wisc.edu/undergraduate/letters-science/german-nordic-slavic/scandinavian-studies-ba/index.html
Letters & Science,Scandinavian Studies BS,https://guide.wisc.edu/undergraduate/letters-science/german-nordic-slavic/scandinavian-studies-bs/index.html
Letters & Science,Social Welfare BA,https://guide.wisc.edu/undergraduate/letters-science/social-work/social-welfare-ba/index.html
Letters & Science,Social Welfare BS,https://guide.wisc.edu/undergraduate/letters-science/social-work/social-welfare-bs/index.html
Letters & Science,Social Work BSW,https://guide.wisc.edu/undergraduate/letters-science/social-work/social-work-bsw/index.html
Letters & Science,Sociology BA,https://guide.wisc.edu/undergraduate/letters-science/sociology/sociology-ba/index.html
Letters & Science,Sociology BS,https://guide.wisc.edu/undergraduate/letters-science/sociology/sociology-bs/index.html
Letters & Science,Spanish BA,https://guide.wisc.edu/undergraduate/letters-science/spanish-portuguese/spanish-ba/index.html
Letters & Science,Spanish BS,https://guide.wisc.edu/undergraduate/letters-science/spanish-portuguese/spanish-bs/index.html
Letters & Science,Statistics BA,https://guide.wisc.edu/undergraduate/letters-science/statistics/statistics-ba/index.html
Letters & Science,Statistics BS,https://guide.wisc.edu/undergraduate/letters-science/statistics/statistics-bs/index.html
Letters & Science,Zoology BA,https://guide.wisc.edu/undergraduate/letters-science/integrative-biology/zoology-ba/index.html
Letters & Science,Zoology BS,https://guide.wisc.edu/undergraduate/letters-science/integrative-biology/zoology-bs/index.html
Nursing,Intended: Nursing BSN,
Nursing,Nursing Accelerated BSN,https://guide.wisc.edu/undergraduate/nursing/nursing/nursing-accelerated-program-bsn/index.html
Nursing,Nursing BSN,https://guide.wisc.edu/undergraduate/nursing/nursing/nursing-bsn/index.html
Nursing,Nursing Collaborative Program BSN,https://guide.wisc.edu/undergraduate/nursing/nursing/nursing-collaborative-program-bsn/index.html
Pharmacy,Pharmacology & Toxicology BS,https://guide.wisc.edu/undergraduate/pharmacy/pharmacy/pharmacology-toxicology-bs/index.html
